"700","2045","30",NA,"14C_bulk","Bulk","Poz-4531"
"1020","2525","35",NA,"14C_bulk","Bulk","Poz-4533"
"1445","3315","30",NA,"14C_bulk","Bulk","Poz-4534"
"1785","3695","35",NA,"14C_bulk","Bulk","Poz-4535"
"1845","3820","35",NA,"14C_bulk","Bulk","Poz-4537"
"2220","4535","35",NA,"14C_bulk","Bulk","Poz-4538"
"2620","5210","35",NA,"14C_bulk","Bulk","Poz-4539"
"3020","5800","40",NA,"14C_bulk","Bulk","Poz-4540"
"3400","6305","40",NA,"14C_bulk","Bulk","Poz-4541"
"3800","7740","40",NA,"14C_bulk","Bulk","Poz-4543"
"4056",NA,NA,"10240","tephra","Saksunarvatn_tephra","NA"
"4305","9840","50",NA,"14C_bulk","Bulk","Poz-4544"
